,state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,average_hourly_night_rate,average_hourly_day_rate,average_hourly_intl_rate,average_hourly_eve_rate,total_minutes,state,international plan,voice mail plan,churn
1055,OR,161,no,no,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,22.229402261712437,5.881770145310435,3.695652173913044,11.76706827309237,470.7,OR,no,no,False
1743,ND,35,no,no,0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1,22.216582064297803,5.881822282363554,3.6942675159235665,11.763901549680948,656.0,ND,no,no,False
2888,TN,148,no,yes,36,77.6,141,13.19,207.0,60,17.6,255.7,115,11.51,10.9,2,2.94,1,22.21546481320591,5.883244882486732,3.7074829931972793,11.761363636363635,551.1999999999999,TN,no,yes,False
512,VA,62,no,no,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,22.214022140221402,5.881552076242342,3.6991869918699187,11.763354394026422,627.5,VA,no,no,False
648,WI,131,no,yes,39,69.1,122,11.75,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46,0,22.203389830508474,5.880851063829787,3.6991869918699187,11.765389082462253,284.29999999999995,WI,no,yes,False
601,MA,62,yes,no,0,159.7,86,27.15,197.5,76,16.79,121.6,105,5.47,13.9,6,3.75,0,22.230347349177332,5.8821362799263355,3.7066666666666666,11.762954139368672,492.69999999999993,MA,yes,no,True
3005,OH,66,no,no,0,170.5,103,28.99,254.3,77,21.62,197.3,138,8.88,10.5,2,2.84,2,22.21846846846847,5.881338392549155,3.6971830985915495,11.762257169287697,632.6,OH,no,no,False
1279,KS,87,no,no,0,115.4,90,19.62,262.6,68,22.32,245.7,69,11.06,13.1,5,3.54,2,22.21518987341772,5.881753312945974,3.700564971751412,11.765232974910395,636.8000000000001,KS,no,no,False
3327,SC,79,no,no,0,134.7,98,22.9,189.7,68,16.12,221.4,128,9.96,11.8,5,3.19,2,22.2289156626506,5.882096069868996,3.699059561128527,11.767990074441686,557.6,SC,no,no,False
3276,OR,142,no,yes,22,224.4,114,38.15,146.0,106,12.41,241.4,98,10.86,8.8,2,2.38,1,22.228360957642728,5.882044560943644,3.6974789915966393,11.76470588235294,620.6,OR,no,yes,False
2936,OK,44,no,no,0,288.8,86,49.1,175.9,87,14.95,215.4,106,9.69,9.5,2,2.57,0,22.229102167182663,5.8818737270875765,3.6964980544747084,11.765886287625419,689.6,OK,no,no,True
521,SC,88,no,no,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,22.226345083487942,5.88282504012841,3.710407239819004,11.763848396501457,482.5,SC,no,no,True
1036,MO,119,no,yes,32,142.6,77,24.24,208.2,126,17.7,171.0,102,7.69,12.0,2,3.24,3,22.23667100130039,5.882838283828383,3.7037037037037033,11.76271186440678,533.8,MO,no,yes,False
772,ID,77,no,no,0,189.5,112,32.22,207.0,95,17.6,214.1,91,9.63,9.2,7,2.48,0,22.232606438213914,5.881440099317195,3.7096774193548385,11.761363636363635,619.8,ID,no,no,False
576,FL,92,no,no,0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,22.216547497446374,5.882867132867133,3.702702702702702,11.763485477178422,659.9,FL,no,no,False
3251,OH,88,no,no,0,274.6,105,46.68,161.1,121,13.69,194.4,123,8.75,9.2,4,2.48,2,22.217142857142857,5.882604970008569,3.7096774193548385,11.767713659605551,639.3,OH,no,no,False
3026,NE,78,no,yes,32,210.3,116,35.75,192.2,83,16.34,246.1,92,11.07,10.8,4,2.92,6,22.231255645889792,5.882517482517483,3.6986301369863015,11.762545899632803,659.4,NE,no,yes,False
2102,WI,111,no,no,0,246.5,108,41.91,216.3,89,18.39,179.6,99,8.08,12.7,3,3.43,2,22.227722772277225,5.881651157241709,3.702623906705539,11.761827079934747,655.1,WI,no,no,False
2223,ID,134,no,no,0,204.7,108,34.8,143.1,105,12.16,165.8,84,7.46,11.0,4,2.97,6,22.22520107238606,5.8821839080459775,3.7037037037037033,11.768092105263158,524.6,ID,no,no,False
3284,AZ,48,no,yes,27,141.1,109,23.99,224.7,94,19.1,174.3,122,7.84,13.2,2,3.56,1,22.232142857142858,5.8816173405585666,3.7078651685393256,11.76439790575916,553.3,AZ,no,yes,False
2114,TX,123,no,no,0,260.9,85,44.35,168.5,103,14.32,178.3,91,8.02,13.3,5,3.59,3,22.23192019950125,5.882750845546786,3.7047353760445687,11.766759776536313,621.0,TX,no,no,False
1758,OH,134,no,no,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,22.21347331583552,5.882182240278583,3.7003058103975532,11.76255230125523,693.6,OH,no,no,False
123,MS,193,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,22.2244094488189,5.8829604130808955,3.7060702875399363,11.760000000000002,427.70000000000005,MS,no,no,False
3050,SC,101,no,no,0,158.4,92,26.93,188.0,117,15.98,219.7,125,9.89,13.5,4,3.65,4,22.214357937310414,5.881916078722615,3.6986301369863015,11.76470588235294,579.6,SC,no,no,True
2886,PA,85,no,no,0,144.4,88,24.55,264.6,105,22.49,185.4,94,8.34,9.9,3,2.67,1,22.23021582733813,5.8818737270875765,3.707865168539326,11.765228990662518,604.3,PA,no,no,False
221,TN,127,no,yes,22,166.0,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,22.22323049001815,5.882352941176471,3.709090909090909,11.766689143627781,595.5999999999999,TN,no,yes,False
824,DE,147,no,no,0,209.4,104,35.6,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,22.232142857142858,5.882022471910112,3.704918032786886,11.767317939609237,502.6,DE,no,no,False
