,state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,average_night_rate_by_min,average_day_rate_by_min,average_intl_rate_by_min,average_eve_rate_by_min,total_minutes,churn
1051,NC,103,no,no,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0,0.044993013507219376,0.17000759301442675,0.2699029126213592,0.08498045784477946,667.5,False
849,IL,129,no,no,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,0.044973070017953316,0.17001008064516127,0.26956521739130435,0.08500188893086513,583.7,False
7,MO,147,yes,no,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0.04499527856468366,0.17,0.27042253521126763,0.08496605237633366,479.0,False
968,NM,122,no,yes,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,0.045018226002430134,0.1699828473413379,0.27037037037037037,0.08501208702659147,601.2,True
2054,NH,90,no,no,0,140.2,97,23.83,213.9,102,18.18,120.0,126,5.4,7.1,2,1.92,1,0.045000000000000005,0.16997146932952925,0.27042253521126763,0.0849929873772791,481.20000000000005,False
1071,PA,134,no,no,0,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5.0,9,1.35,1,0.04500279173646008,0.16999512907939598,0.27,0.08498960498960499,629.9,False
417,AZ,117,no,no,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0,0.04501193317422434,0.16998749478949562,0.2704081632653061,0.08501144164759725,634.0,False
3216,SD,221,no,yes,24,180.5,85,30.69,224.1,92,19.05,205.7,103,9.26,2.4,3,0.65,0,0.04501701507049101,0.17002770083102495,0.27083333333333337,0.08500669344042838,612.6999999999999,False
2497,MN,79,no,yes,32,50.6,62,8.6,201.4,87,17.12,146.8,121,6.61,4.2,4,1.13,2,0.04502724795640327,0.16996047430830039,0.26904761904761904,0.08500496524329693,403.0,False
918,PA,52,no,no,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1,0.045011668611435234,0.16998610467809172,0.2692307692307692,0.08502304147465438,780.9000000000001,False
2755,SC,107,no,no,0,206.9,79,35.17,262.4,117,22.3,149.3,69,6.72,10.7,3,2.89,0,0.0450100468854655,0.16998550024166265,0.27009345794392525,0.08498475609756098,629.3,False
3104,WI,63,no,yes,13,214.2,61,36.41,181.2,88,15.4,174.0,68,7.83,10.3,2,2.78,0,0.045,0.1699813258636788,0.2699029126213592,0.08498896247240618,579.7,False
1029,MN,116,no,no,0,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,0.04498009730207873,0.17001982160555004,0.2703030303030303,0.08501079913606911,675.9,False
200,MN,53,no,yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,0.04501800720288115,0.17000686341798216,0.2702290076335878,0.08498866213151927,629.2,False
3036,TX,112,no,no,0,214.8,112,36.52,209.7,104,17.82,164.4,97,7.4,9.4,5,2.54,3,0.045012165450121655,0.17001862197392925,0.2702127659574468,0.0849785407725322,598.3,False
1124,NY,167,no,no,0,166.4,85,28.29,243.2,135,20.67,229.2,95,10.31,9.9,5,2.67,1,0.0449825479930192,0.17001201923076922,0.26969696969696966,0.08499177631578948,648.7,False
806,WV,137,no,no,0,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,0.04498168498168498,0.17001146788990823,0.26960784313725494,0.08502879078694817,477.4,False
3163,NC,122,no,yes,30,230.1,108,39.12,287.6,76,24.45,177.1,85,7.97,6.9,3,1.86,2,0.04500282326369283,0.17001303780964797,0.26956521739130435,0.08501390820584144,701.7,False
1229,OR,177,no,no,0,84.9,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2,0.04498812351543943,0.16996466431095406,0.27066666666666667,0.08500970873786408,560.4,False
284,DE,71,no,no,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,0.04498933901918977,0.16998484082870136,0.2701492537313433,0.08501377410468319,667.5,False
1821,OH,123,no,yes,39,270.4,99,45.97,245.1,110,20.83,108.9,113,4.9,15.4,7,4.16,1,0.04499540863177227,0.17000739644970414,0.2701298701298701,0.08498572011423908,639.8,False
232,OK,100,no,no,0,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65,3,0.04499723604201216,0.17001477104874446,0.27037037037037037,0.08502304147465438,614.5,False
2623,UT,134,no,no,0,258.8,85,44.0,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,0.04498966942148761,0.17001545595054096,0.2697247706422018,0.08501930501930502,592.8,False
1543,AR,57,no,no,0,192.8,68,32.78,158.0,86,13.43,235.5,105,10.6,12.7,6,3.43,1,0.04501061571125265,0.1700207468879668,0.27007874015748035,0.08499999999999999,599.0,False
3226,ME,100,no,no,0,264.5,117,44.97,194.0,111,16.49,262.7,111,11.82,7.5,4,2.03,2,0.0449942900647126,0.17001890359168242,0.27066666666666667,0.08499999999999999,728.7,True
96,MT,73,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,0.04497415278575532,0.17001873828856964,0.26999999999999996,0.08499765588373183,560.5,False
2071,AK,132,no,no,0,181.1,121,30.79,314.4,109,26.72,246.7,81,11.1,4.2,9,1.13,2,0.0449939197405756,0.17001656543346216,0.26904761904761904,0.08498727735368956,746.3999999999999,False
2851,NH,95,no,no,0,142.5,109,24.23,176.1,107,14.97,189.6,88,8.53,8.2,3,2.21,2,0.044989451476793244,0.17003508771929826,0.26951219512195124,0.08500851788756389,516.4,False
2653,OK,155,no,yes,30,61.6,103,10.47,255.1,110,21.68,225.9,96,10.17,12.4,5,3.35,1,0.0450199203187251,0.16996753246753246,0.2701612903225806,0.08498627989023912,555.0,False
1344,MA,111,no,no,0,284.4,89,48.35,157.0,113,13.35,242.8,91,10.93,8.4,8,2.27,0,0.045016474464579896,0.17000703234880452,0.2702380952380952,0.08503184713375796,692.6,True
1366,NY,89,no,no,0,89.5,66,15.22,179.3,104,15.24,225.1,116,10.13,12.3,1,3.32,3,0.04500222123500667,0.17005586592178773,0.26991869918699185,0.08499721137757947,506.20000000000005,False
3097,ME,112,no,no,0,185.4,114,31.52,191.4,119,16.27,144.0,78,6.48,10.0,11,2.7,2,0.045000000000000005,0.17001078748651563,0.27,0.08500522466039707,530.8,False
3177,NM,84,no,yes,41,153.9,102,26.16,140.7,117,11.96,217.7,101,9.8,12.8,5,3.46,1,0.045016077170418015,0.1699805068226121,0.27031249999999996,0.08500355366027008,525.1,False
2870,TX,121,no,no,0,86.1,100,14.64,259.8,113,22.08,148.0,79,6.66,9.1,9,2.46,2,0.045,0.17003484320557494,0.2703296703296703,0.08498845265588914,503.0,False
1730,NM,161,no,no,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2,0.04498381877022654,0.170046511627907,0.2698412698412698,0.08498439937597504,623.7,False
2766,VA,146,yes,no,0,111.1,126,18.89,313.4,95,26.64,215.7,82,9.71,10.5,6,2.84,1,0.04501622624014836,0.17002700270027005,0.2704761904761905,0.08500319081046587,650.6999999999999,False
104,IN,122,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0.04501206757843926,0.17002932551319647,0.26991150442477874,0.0849740932642487,604.1,False
2480,DE,105,yes,no,0,150.0,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,3,0.044994016753091344,0.17,0.2699029126213592,0.08498978897208985,704.8,False
3240,SD,34,no,no,0,180.6,65,30.7,280.4,99,23.83,292.4,105,13.16,5.0,3,1.35,1,0.045006839945280444,0.1699889258028793,0.27,0.08498573466476463,758.4,False
2620,TN,115,no,no,0,206.2,113,35.05,176.4,102,14.99,297.1,119,13.37,11.0,7,2.97,1,0.0450016829350387,0.16998060135790494,0.27,0.08497732426303854,690.6999999999999,False
1468,OH,75,no,yes,27,117.5,102,19.98,206.8,127,17.58,194.4,114,8.75,4.2,7,1.13,3,0.04501028806584362,0.17004255319148937,0.26904761904761904,0.08500967117988394,522.9,False
1732,HI,97,no,yes,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,0.04500899280575539,0.17002477291494633,0.26987951807228916,0.08501152959262107,612.0,False
1810,KY,124,no,no,0,194.0,103,32.98,241.0,116,20.49,227.5,153,10.24,11.9,5,3.21,0,0.04501098901098901,0.16999999999999998,0.26974789915966385,0.08502074688796679,674.4,False
437,OH,100,no,no,0,278.0,76,47.26,176.7,74,15.02,219.5,126,9.88,8.3,4,2.24,0,0.0450113895216401,0.16999999999999998,0.26987951807228916,0.08500282965478212,682.5,True
2724,NJ,182,no,no,0,279.1,124,47.45,180.5,108,15.34,217.5,104,9.79,9.5,11,2.57,2,0.04501149425287356,0.17001074883554282,0.27052631578947367,0.08498614958448754,686.6,True
749,NM,87,yes,no,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,0.04500375657400451,0.169994022713688,0.27,0.08498740554156171,509.9,False
227,IA,126,no,yes,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,0.04496732026143791,0.16997851772287864,0.26979166666666665,0.08502109704641352,461.9,False
1167,KS,130,no,no,0,154.0,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,0.04501497646555413,0.16999999999999998,0.2697674418604651,0.08499271491015056,606.5,False
3147,NM,62,no,no,0,245.3,91,41.7,122.9,130,10.45,228.4,102,10.28,8.5,4,2.3,4,0.04500875656742556,0.16999592335915206,0.27058823529411763,0.08502847843775427,605.1,False
975,DE,129,no,no,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0,0.044973821989528796,0.16999700867484294,0.2701923076923077,0.08500780843310775,727.8,True
2555,NC,190,no,no,0,182.2,101,30.97,212.3,95,18.05,233.0,123,10.49,9.3,4,2.51,2,0.045021459227467815,0.16997804610318332,0.2698924731182795,0.08502119642016015,636.8,False
1879,TX,92,no,no,0,139.8,98,23.77,174.9,143,14.87,201.6,135,9.07,9.4,7,2.54,2,0.044990079365079365,0.1700286123032904,0.2702127659574468,0.08502001143510576,525.6999999999999,False
2744,CA,33,no,no,0,159.5,115,27.12,195.4,118,16.61,102.4,86,4.61,7.1,7,1.92,1,0.04501953125,0.17003134796238245,0.27042253521126763,0.08500511770726714,464.4,False
1132,WV,83,no,yes,37,78.5,109,13.35,210.5,101,17.89,179.7,102,8.09,11.8,4,3.19,1,0.04501947690595437,0.1700636942675159,0.2703389830508474,0.08498812351543943,480.5,False
2337,MD,139,no,no,0,181.6,119,30.87,335.7,118,28.53,149.8,64,6.74,8.3,6,2.24,4,0.04499332443257677,0.16998898678414098,0.26987951807228916,0.08498659517426274,675.4,False
1430,WV,48,no,yes,34,198.0,70,33.66,273.7,121,23.26,217.9,71,9.81,7.6,4,2.05,1,0.04502065167508031,0.16999999999999998,0.26973684210526316,0.08498355864084765,697.2,False
1714,NE,99,no,no,0,200.0,66,34.0,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,3,0.04501497646555413,0.17,0.27017543859649124,0.08498609823911028,553.0,False
1963,RI,131,no,no,0,112.8,133,19.18,199.4,116,16.95,142.7,105,6.42,10.1,5,2.73,0,0.04498948843728101,0.1700354609929078,0.2702970297029703,0.0850050150451354,465.0,False
2797,NC,169,no,no,0,142.5,82,24.23,231.4,110,19.67,131.2,67,5.9,10.0,4,2.7,2,0.044969512195121956,0.17003508771929826,0.27,0.08500432152117546,515.1,False
1566,WV,80,no,yes,38,236.6,69,40.22,197.5,68,16.79,209.5,102,9.43,9.5,10,2.57,2,0.04501193317422434,0.16999154691462384,0.27052631578947367,0.08501265822784809,653.1,False
1903,NJ,93,yes,yes,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,3.78,1,0.04497929606625259,0.17000443066016835,0.26999999999999996,0.08503344481605352,552.5,True
2171,NV,41,no,no,0,182.1,89,30.96,211.5,104,17.98,207.4,124,9.33,6.8,1,1.84,1,0.04498553519768563,0.1700164744645799,0.2705882352941177,0.08501182033096927,607.8,False
2954,TX,57,no,no,0,161.0,113,27.37,208.0,134,17.68,208.1,81,9.36,8.4,4,2.27,3,0.04497837578087458,0.17,0.2702380952380952,0.08499999999999999,585.5,False
1964,MS,158,no,no,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,2.97,1,0.04498141263940521,0.16998294485503126,0.27,0.08502389803505045,563.5,False
466,FL,132,no,yes,36,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3,0.045015455950540954,0.1699823165340407,0.2704761904761905,0.08502202643171806,677.1,True
1044,NY,94,yes,no,0,243.2,109,41.34,147.0,88,12.5,94.9,99,4.27,7.2,4,1.94,4,0.044994731296101154,0.16998355263157897,0.26944444444444443,0.08503401360544217,492.3,False
1239,TX,64,no,no,0,168.0,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,0.04498498498498499,0.16999999999999998,0.2702970297029703,0.08497920997920999,537.0,False
3168,TX,201,no,no,0,225.9,110,38.4,299.1,86,25.42,251.3,81,11.31,11.2,4,3.02,1,0.045005968961400716,0.1699867197875166,0.2696428571428572,0.08498829822801739,787.5,True
1577,UT,100,no,no,0,179.1,123,30.45,196.6,132,16.71,186.7,116,8.4,10.2,10,2.75,1,0.044991965720407076,0.17001675041876047,0.26960784313725494,0.08499491353001018,572.5999999999999,False
3282,DC,99,no,yes,31,244.1,71,41.5,203.4,58,17.29,234.0,115,10.53,7.7,4,2.08,3,0.045,0.1700122900450635,0.2701298701298701,0.08500491642084562,689.2,False
2529,WI,127,no,no,0,218.6,93,37.16,149.9,130,12.74,204.6,131,9.21,9.2,5,2.48,2,0.045014662756598246,0.16999085086916743,0.26956521739130435,0.08498999332888592,582.3,False
2355,ND,118,no,no,0,224.6,94,38.18,225.9,120,19.2,269.0,105,12.11,12.5,8,3.38,2,0.045018587360594796,0.16999109528049866,0.2704,0.0849933598937583,732.0,False
1897,OH,86,no,yes,29,225.4,79,38.32,187.1,112,15.9,281.1,112,12.65,12.9,3,3.48,1,0.04500177872643187,0.17000887311446317,0.2697674418604651,0.08498129342597542,706.5,False
213,AZ,86,no,yes,31,167.6,139,28.49,113.0,118,9.61,246.9,121,11.11,12.2,6,3.29,1,0.04499797488861887,0.16998806682577566,0.269672131147541,0.08504424778761062,539.7,False
12,IA,168,no,no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0.04500354358610914,0.1700310559006211,0.2696428571428572,0.08503336510962821,386.0,False
3224,IN,115,no,no,0,226.4,101,38.49,276.8,60,23.53,213.4,82,9.6,12.3,4,3.32,3,0.04498594189315838,0.1700088339222615,0.26991869918699185,0.08500722543352601,728.9000000000001,True
906,VT,73,no,no,0,213.0,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,0.045007342143906025,0.17,0.27037037037037037,0.08501059322033898,551.5,False
424,DC,112,no,yes,16,221.6,110,37.67,130.2,123,11.07,200.0,108,9.0,11.3,3,3.05,1,0.045,0.16999097472924188,0.26991150442477874,0.08502304147465439,563.1,False
893,MO,167,yes,no,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,0.04499151103565365,0.17001633986928102,0.27009345794392525,0.08503289473684211,493.0,False
1753,VT,63,no,no,0,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,2,0.04499781564001748,0.17003508771929826,0.27066666666666667,0.08502160345655305,587.2,False
2183,AR,138,no,no,0,146.5,101,24.91,284.5,142,24.18,176.0,98,7.92,14.0,6,3.78,3,0.045,0.17003412969283277,0.26999999999999996,0.08499121265377856,621.0,False
1159,KS,128,no,no,0,103.3,122,17.56,245.9,123,20.9,161.1,95,7.25,6.4,7,1.73,0,0.04500310366232154,0.16999031945788964,0.27031249999999996,0.08499389995933306,516.6999999999999,False
1250,NV,81,no,no,0,145.4,132,24.72,129.3,91,10.99,186.4,109,8.39,5.2,4,1.4,1,0.04501072961373391,0.17001375515818432,0.2692307692307692,0.08499613302397524,466.3,False
1613,AL,95,no,no,0,194.6,114,33.08,232.8,106,19.79,173.4,92,7.8,3.8,2,1.03,3,0.04498269896193771,0.1699897225077081,0.2710526315789474,0.08500859106529209,604.6,False
746,MI,120,no,no,0,150.6,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1,0.044997853155860884,0.16998671978751662,0.27031249999999996,0.08504201680672269,508.9,False
2931,KS,68,no,no,0,207.6,68,35.29,251.6,123,21.39,191.6,100,8.62,10.9,6,2.94,2,0.044989561586638825,0.169990366088632,0.2697247706422018,0.08501589825119238,661.6999999999999,False
2593,VT,93,no,no,0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,0,0.04497792494481237,0.16998663101604278,0.2699300699300699,0.08500249128051819,545.8,False
1906,DC,91,no,yes,39,169.8,105,28.87,65.2,116,5.54,144.4,92,6.5,10.9,4,2.94,1,0.045013850415512466,0.17002355712603062,0.2697247706422018,0.08496932515337423,390.3,False
1055,OR,161,no,no,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,0.04498546511627907,0.17001684446939921,0.27058823529411763,0.08498293515358361,470.7,False
1743,ND,35,no,no,0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1,0.04501142421934501,0.1700153374233129,0.27068965517241383,0.08500581170089112,656.0,False
2888,TN,148,no,yes,36,77.6,141,13.19,207.0,60,17.6,255.7,115,11.51,10.9,2,2.94,1,0.045013687915526006,0.16997422680412372,0.2697247706422018,0.08502415458937199,551.1999999999999,False
512,VA,62,no,no,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,0.04501661129568106,0.17002314814814812,0.2703296703296703,0.085009765625,627.5,False
648,WI,131,no,yes,39,69.1,122,11.75,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46,0,0.0450381679389313,0.17004341534008685,0.2703296703296703,0.08499506416584403,284.29999999999995,False
601,MA,62,yes,no,0,159.7,86,27.15,197.5,76,16.79,121.6,105,5.47,13.9,6,3.75,0,0.044983552631578945,0.17000626174076394,0.2697841726618705,0.08501265822784809,492.69999999999993,True
3005,OH,66,no,no,0,170.5,103,28.99,254.3,77,21.62,197.3,138,8.88,10.5,2,2.84,2,0.04500760263558034,0.17002932551319647,0.2704761904761905,0.08501769563507668,632.6,False
1279,KS,87,no,no,0,115.4,90,19.62,262.6,68,22.32,245.7,69,11.06,13.1,5,3.54,2,0.045014245014245016,0.17001733102253033,0.2702290076335878,0.08499619192688498,636.8000000000001,False
3327,SC,79,no,no,0,134.7,98,22.9,189.7,68,16.12,221.4,128,9.96,11.8,5,3.19,2,0.04498644986449865,0.17000742390497403,0.2703389830508474,0.08497627833421192,557.6,False
3276,OR,142,no,yes,22,224.4,114,38.15,146.0,106,12.41,241.4,98,10.86,8.8,2,2.38,1,0.044987572493786245,0.17000891265597146,0.27045454545454545,0.085,620.6,False
2936,OK,44,no,no,0,288.8,86,49.1,175.9,87,14.95,215.4,106,9.69,9.5,2,2.57,0,0.044986072423398325,0.17001385041551245,0.27052631578947367,0.08499147242751563,689.6,True
521,SC,88,no,no,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,0.04499165275459098,0.16998635743519783,0.26951219512195124,0.08500619578686493,482.5,True
1036,MO,119,no,yes,32,142.6,77,24.24,208.2,126,17.7,171.0,102,7.69,12.0,2,3.24,3,0.04497076023391813,0.1699859747545582,0.27,0.08501440922190202,533.8,False
772,ID,77,no,no,0,189.5,112,32.22,207.0,95,17.6,214.1,91,9.63,9.2,7,2.48,0,0.04497898178421299,0.1700263852242744,0.26956521739130435,0.08502415458937199,619.8,False
576,FL,92,no,no,0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,0.04501149425287356,0.1699851411589896,0.27007299270072993,0.08500881834215168,659.9,False
3251,OH,88,no,no,0,274.6,105,46.68,161.1,121,13.69,194.4,123,8.75,9.2,4,2.48,2,0.04501028806584362,0.16999271667880553,0.26956521739130435,0.08497827436374922,639.3,False
3026,NE,78,no,yes,32,210.3,116,35.75,192.2,83,16.34,246.1,92,11.07,10.8,4,2.92,6,0.044981714750101584,0.16999524488825488,0.27037037037037037,0.08501560874089491,659.4,False
2102,WI,111,no,no,0,246.5,108,41.91,216.3,89,18.39,179.6,99,8.08,12.7,3,3.43,2,0.04498886414253898,0.17002028397565921,0.27007874015748035,0.08502080443828017,655.1,False
2223,ID,134,no,no,0,204.7,108,34.8,143.1,105,12.16,165.8,84,7.46,11.0,4,2.97,6,0.04499396863691194,0.1700048851978505,0.27,0.08497554157931517,524.6,False
3284,AZ,48,no,yes,27,141.1,109,23.99,224.7,94,19.1,174.3,122,7.84,13.2,2,3.56,1,0.044979919678714855,0.17002126151665484,0.2696969696969697,0.08500222518914109,553.3,False
2114,TX,123,no,no,0,260.9,85,44.35,168.5,103,14.32,178.3,91,8.02,13.3,5,3.59,3,0.04498037016264722,0.16998850134151017,0.2699248120300752,0.08498516320474778,621.0,False
1758,OH,134,no,no,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,0.04501772351319417,0.170004933399112,0.2702479338842975,0.08501556247220987,693.6,False
123,MS,193,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0.0449955713020372,0.16998244587478056,0.26982758620689656,0.08503401360544217,427.70000000000005,False
3050,SC,101,no,no,0,158.4,92,26.93,188.0,117,15.98,219.7,125,9.89,13.5,4,3.65,4,0.04501593081474739,0.17001262626262625,0.27037037037037037,0.085,579.6,True
2886,PA,85,no,no,0,144.4,88,24.55,264.6,105,22.49,185.4,94,8.34,9.9,3,2.67,1,0.04498381877022654,0.17001385041551245,0.26969696969696966,0.08499622071050641,604.3,False
221,TN,127,no,yes,22,166.0,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,0.044997958350347075,0.16999999999999998,0.26960784313725494,0.08498567335243554,595.5999999999999,False
824,DE,147,no,no,0,209.4,104,35.6,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,0.044979919678714855,0.17000955109837632,0.26991150442477874,0.0849811320754717,502.6,False
3229,IL,117,no,no,0,201.9,86,34.32,212.3,96,18.05,176.9,98,7.96,7.8,10,2.11,1,0.04499717354437535,0.1699851411589896,0.2705128205128205,0.08502119642016015,598.9000000000001,False
360,CO,159,yes,no,0,257.1,53,43.71,312.2,127,26.54,183.0,82,8.24,8.8,6,2.38,1,0.045027322404371586,0.17001166861143524,0.27045454545454545,0.08500960922485586,761.1,True
100,IA,98,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0.04500624219725344,0.16997518610421836,0.27045454545454545,0.08501189532117367,578.0,False
2933,IL,98,yes,no,0,158.4,71,26.93,306.6,66,26.06,144.2,93,6.49,2.1,4,0.57,1,0.04500693481276006,0.17001262626262625,0.2714285714285714,0.08499673842139595,611.3000000000001,False
554,NM,65,no,no,0,148.7,80,25.28,259.0,94,22.02,149.5,107,6.73,12.7,6,3.43,2,0.04501672240802676,0.1700067249495629,0.27007874015748035,0.08501930501930502,569.9,False
1985,MT,101,no,yes,16,118.9,112,20.21,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2,0.044975013881177126,0.16997476871320438,0.26951219512195124,0.0850197109067017,535.5,False
1878,KY,39,no,no,0,295.4,126,50.22,232.1,117,19.73,204.4,123,9.2,11.5,2,3.11,1,0.04500978473581213,0.17000677048070414,0.27043478260869563,0.08500646273158122,743.4,True
260,MN,24,no,yes,25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,0.04498269896193772,0.16998180715585204,0.2701492537313433,0.0849976110845676,612.1,False
